Date,Dragino Door Sensor,Dragino Window 1 Sensor,Dragino Window 2 Sensor,humidity,co2,temperature,motion,light,occupancy,soundAvg,soundPeak,ltrCnt,rtlCnt
2023-11-27 08:25:00+00:00,0.0,0.0,0.0,18.0,640.0,23.0,8.0,402.0,1.0,43.0,73.0,1.0,0.0
2023-11-27 08:30:00+00:00,1.0,0.0,0.0,19.0,643.0,23.0,2.0,409.0,0.0,45.0,64.0,0.0,0.0
2023-11-27 08:35:00+00:00,0.0,0.0,0.0,19.0,655.0,23.1,1.0,414.0,1.0,51.0,64.0,1.0,0.0
2023-11-27 08:40:00+00:00,0.0,0.0,0.0,19.0,712.0,23.0,3.0,411.0,2.0,43.0,71.0,0.0,0.0
2023-11-27 08:45:00+00:00,1.0,0.0,0.0,19.0,721.0,23.1,0.0,420.0,2.0,41.0,61.0,0.0,0.0
2023-11-27 08:50:00+00:00,0.0,0.0,0.0,19.0,755.0,23.1,0.0,425.0,1.0,38.0,59.0,0.0,1.0
2023-11-27 08:55:00+00:00,1.0,0.0,0.0,20.0,761.0,23.2,1.0,439.0,1.0,43.0,66.0,0.0,0.0
2023-11-27 09:00:00+00:00,1.0,0.0,0.0,20.0,789.0,23.2,3.0,450.0,1.0,49.0,65.0,3.0,1.0
2023-11-27 09:05:00+00:00,1.0,0.0,0.0,20.0,806.0,23.2,2.0,471.0,1.0,44.0,65.0,0.0,1.0
2023-11-27 09:10:00+00:00,0.0,0.0,0.0,20.0,841.0,23.2,6.0,493.0,1.0,43.0,66.0,0.0,1.0
2023-11-27 09:15:00+00:00,1.0,0.0,0.0,20.0,865.0,23.3,1.0,447.0,0.0,41.0,60.0,0.0,0.0
2023-11-27 09:20:00+00:00,0.0,0.0,0.0,20.0,844.0,23.3,0.0,528.0,1.0,43.0,64.0,1.0,0.0
2023-11-27 09:25:00+00:00,1.0,0.0,0.0,20.0,855.0,23.3,1.0,468.0,2.0,42.0,68.0,0.0,0.0
2023-11-27 09:30:00+00:00,0.0,0.0,0.0,20.0,869.0,23.3,0.0,469.0,1.0,42.0,62.0,0.0,1.0
2023-11-27 09:35:00+00:00,0.0,0.0,0.0,20.0,890.0,23.3,4.0,468.0,2.0,43.0,66.0,1.0,0.0
2023-11-27 09:40:00+00:00,0.0,0.0,0.0,20.0,911.0,23.3,0.0,477.0,2.0,43.0,63.0,0.0,0.0
2023-11-27 09:45:00+00:00,0.0,0.0,0.0,20.0,938.0,23.4,0.0,474.0,2.0,38.0,59.0,0.0,0.0
2023-11-27 09:50:00+00:00,1.0,0.0,0.0,21.0,924.0,23.4,0.0,463.0,2.0,40.0,59.0,0.0,0.0
2023-11-27 09:55:00+00:00,1.0,0.0,0.0,21.0,951.0,23.4,0.0,460.0,1.0,41.0,65.0,2.0,1.0
2023-11-27 10:00:00+00:00,1.0,0.0,0.0,21.0,964.0,23.4,12.0,478.0,1.0,49.0,71.0,0.0,0.0
2023-11-27 10:05:00+00:00,0.0,0.0,0.0,21.0,956.0,23.4,0.0,467.0,1.0,43.0,71.0,2.0,4.0
2023-11-27 10:10:00+00:00,1.0,0.0,0.0,21.0,956.0,23.4,0.0,467.0,0.0,36.0,60.0,0.0,0.0
2023-11-27 10:15:00+00:00,0.0,0.0,0.0,21.0,941.0,23.4,2.0,480.0,1.0,40.0,61.0,1.0,0.0
2023-11-27 10:20:00+00:00,0.0,0.0,0.0,21.0,977.0,23.4,1.0,486.0,0.0,40.0,62.0,0.0,0.0
2023-11-27 10:25:00+00:00,0.0,0.0,0.0,21.0,965.0,23.4,0.0,474.0,0.0,45.0,59.0,0.0,0.0
2023-11-27 10:30:00+00:00,0.0,0.0,0.0,21.0,979.0,23.4,0.0,468.0,0.0,44.0,59.0,0.0,0.0
2023-11-27 10:35:00+00:00,0.0,0.0,0.0,21.0,972.0,23.4,0.0,459.0,0.0,41.0,62.0,0.0,0.0
2023-11-27 10:40:00+00:00,1.0,0.0,0.0,21.0,986.0,23.4,0.0,461.0,0.0,43.0,59.0,0.0,0.0
2023-11-27 10:45:00+00:00,0.0,0.0,0.0,21.0,987.0,23.4,1.0,468.0,1.0,44.0,68.0,2.0,1.0
2023-11-27 10:50:00+00:00,0.0,0.0,0.0,21.0,994.0,23.5,2.0,473.0,0.0,42.0,59.0,0.0,0.0
2023-11-27 10:55:00+00:00,1.0,0.0,0.0,21.0,1014.0,23.4,1.0,468.0,1.0,45.0,64.0,0.0,0.0
2023-11-27 11:00:00+00:00,1.0,0.0,0.0,21.0,1017.0,23.5,10.0,477.0,1.0,43.0,74.0,0.0,1.0
2023-11-27 11:05:00+00:00,0.0,0.0,0.0,21.0,990.0,23.4,0.0,481.0,1.0,39.0,68.0,2.0,2.0
2023-11-27 11:10:00+00:00,0.0,0.0,0.0,21.0,1021.0,23.4,5.0,459.0,1.0,48.0,68.0,1.0,2.0
2023-11-27 11:15:00+00:00,0.0,0.0,0.0,21.0,960.0,23.4,2.0,484.0,0.0,35.0,59.0,0.0,0.0
2023-11-27 11:20:00+00:00,0.0,0.0,0.0,21.0,930.0,23.4,0.0,473.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 11:25:00+00:00,0.0,0.0,0.0,20.0,922.0,23.4,0.0,124.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 11:30:00+00:00,0.0,0.0,0.0,20.0,905.0,23.3,0.0,120.0,0.0,35.0,59.0,0.0,0.0
2023-11-27 11:35:00+00:00,0.0,0.0,0.0,20.0,850.0,23.3,0.0,132.0,0.0,35.0,59.0,0.0,0.0
2023-11-27 11:40:00+00:00,0.0,0.0,0.0,20.0,825.0,23.2,0.0,114.0,0.0,35.0,59.0,0.0,0.0
2023-11-27 11:45:00+00:00,0.0,0.0,0.0,20.0,807.0,23.2,0.0,102.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 11:50:00+00:00,0.0,0.0,0.0,20.0,784.0,23.2,0.0,102.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 11:55:00+00:00,0.0,0.0,0.0,20.0,753.0,23.1,0.0,102.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 12:00:00+00:00,1.0,0.0,0.0,20.0,740.0,23.1,0.0,99.0,0.0,34.0,59.0,0.0,0.0
2023-11-27 12:05:00+00:00,1.0,0.0,0.0,20.0,729.0,23.1,2.0,425.0,1.0,36.0,72.0,1.0,0.0
2023-11-27 12:10:00+00:00,1.0,0.0,0.0,20.0,720.0,23.1,2.0,436.0,1.0,44.0,74.0,6.0,6.0
2023-11-27 12:15:00+00:00,1.0,0.0,0.0,20.0,733.0,23.1,10.0,436.0,1.0,45.0,65.0,1.0,0.0
2023-11-27 12:20:00+00:00,0.0,0.0,0.0,20.0,745.0,23.1,1.0,433.0,1.0,53.0,65.0,1.0,0.0
2023-11-27 12:25:00+00:00,0.0,0.0,0.0,20.0,736.0,23.1,2.0,433.0,1.0,48.0,62.0,0.0,1.0
2023-11-27 12:30:00+00:00,1.0,0.0,0.0,20.0,758.0,23.1,3.0,427.0,1.0,44.0,66.0,0.0,0.0
2023-11-27 12:35:00+00:00,0.0,0.0,0.0,20.0,757.0,23.1,6.0,420.0,1.0,46.0,75.0,1.0,1.0
2023-11-27 12:40:00+00:00,0.0,0.0,0.0,20.0,789.0,23.1,12.0,423.0,1.0,46.0,67.0,1.0,0.0
2023-11-27 12:45:00+00:00,0.0,0.0,0.0,20.0,793.0,23.1,2.0,430.0,1.0,44.0,74.0,0.0,0.0
2023-11-27 12:50:00+00:00,1.0,0.0,0.0,20.0,803.0,23.1,3.0,423.0,1.0,41.0,66.0,0.0,0.0
2023-11-27 12:55:00+00:00,1.0,0.0,0.0,20.0,836.0,23.2,3.0,406.0,1.0,41.0,64.0,2.0,1.0
2023-11-27 13:00:00+00:00,0.0,0.0,0.0,20.0,887.0,23.2,5.0,399.0,1.0,45.0,71.0,1.0,1.0
2023-11-27 13:05:00+00:00,0.0,0.0,0.0,20.0,870.0,23.2,0.0,403.0,2.0,38.0,59.0,0.0,0.0
2023-11-27 13:10:00+00:00,0.0,0.0,0.0,20.0,888.0,23.2,0.0,399.0,2.0,37.0,59.0,0.0,0.0
2023-11-27 13:15:00+00:00,0.0,0.0,0.0,20.0,888.0,23.2,0.0,399.0,2.0,41.0,73.0,0.0,0.0
2023-11-27 13:20:00+00:00,1.0,0.0,0.0,20.0,884.0,23.2,3.0,405.0,2.0,39.0,59.0,0.0,0.0
2023-11-27 13:25:00+00:00,1.0,0.0,0.0,20.0,935.0,23.2,3.0,400.0,1.0,47.0,72.0,3.0,5.0
2023-11-27 13:30:00+00:00,1.0,0.0,0.0,20.0,940.0,23.3,12.0,413.0,1.0,41.0,63.0,0.0,1.0
2023-11-27 13:35:00+00:00,1.0,0.0,0.0,20.0,947.0,23.3,1.0,411.0,0.0,38.0,61.0,0.0,1.0
2023-11-27 13:40:00+00:00,0.0,0.0,0.0,20.0,952.0,23.3,4.0,400.0,1.0,41.0,62.0,2.0,0.0
2023-11-27 13:45:00+00:00,1.0,0.0,0.0,20.0,930.0,23.3,1.0,404.0,0.0,42.0,74.0,0.0,0.0
